feature,shap_imp,shap_rank,perm_imp,perm_rank,mi_imp,mi_rank,borda_rank,family
sentence_length,0.025562152519611376,1,0.0072282105721596475,1,0.016256960916394725,5,2.3333333333333335,baseline
n_clauses,0.011311883630754176,5,0.00012793293048074528,9,0.005258376231529915,14,9.333333333333334,v2-syntactic
rate_causal_markers,0.010954139263386831,11,1.0887908977112263e-05,15,0.02605257390514204,3,9.666666666666666,v2-verb
n_proper_nouns,0.010915866480279066,13,0.0011350645108607615,2,0.0004814039803782144,19,11.333333333333334,baseline
rate_dollar,0.010507103216984521,16,4.082965866440229e-06,16,0.026697789863158183,2,11.333333333333334,v2-numerical
dep_tree_depth,0.010109919035811018,23,0.0007403778104415245,3,0.00406178480596564,15,13.666666666666666,v2-syntactic
n_subjective_pron,0.010332847622144472,19,6.668844248462295e-05,11,0.007415432651956433,12,14.0,baseline
n_hedge_verbs,0.010936637316645273,12,0.00010071315803802013,10,0.0,20,14.0,baseline
epi_confidence,0.011103586381342732,9,-3.266372693122577e-05,23,0.007914321306748295,11,14.333333333333334,epistemic
n_hedge_adv,0.010241095096068607,22,0.00017828950949975533,8,0.006138696570062274,13,14.333333333333334,baseline
epi_prob_Background,0.011274594402818623,6,0.00020687027056457788,5,0.0,34,15.0,epistemic
n_passive,0.01177673855915415,2,-3.5385704175420564e-05,24,0.0,23,16.333333333333332,baseline
n_hedge_aux,0.010009933751864776,26,0.0001864554412325988,7,0.003177002917889471,16,16.333333333333332,baseline
rate_digit,0.009821068863265246,28,4.0829658664106226e-05,12,0.010588134756375434,10,16.666666666666668,v2-numerical
rate_ent_person,0.011481669036624497,3,-2.041482933194209e-05,22,0.0,27,17.333333333333332,v2-entity
epi_prob_Opinion,0.010704561724882954,14,-0.00034977407588869064,31,0.015181694159982273,7,17.333333333333332,epistemic
rate_ent_org,0.010374388125720979,18,0.0001918993957210624,6,0.0,28,17.333333333333332,v2-entity
n_boosters,0.00010239835226010253,33,-6.804943110672035e-06,20,0.03879471781084631,1,18.0,baseline
rate_reporting_verbs,0.010066302151328999,24,1.2248897599209663e-05,14,0.002418773932395313,17,18.333333333333332,v2-verb
rate_universal_quant,0.009599619621437945,31,-7.485437421757742e-06,21,0.022126350019875174,4,18.666666666666668,v2-quantifier
n_negations,0.010021846552848422,25,-0.00014154281670197832,27,0.015484641296935386,6,19.333333333333332,baseline
rate_ent_gpe,0.00988929138905568,27,2.5178289509616054e-05,13,0.0013490241555900173,18,19.333333333333332,v2-entity
noun_verb_ratio,0.010454827062915934,17,-0.0012085578964559085,34,0.013270940321897795,8,19.666666666666668,v2-syntactic
n_vague_quant,0.0112610529870443,7,-0.0002286460885186544,28,0.0,24,19.666666666666668,baseline
rate_percent,0.010604196741258622,15,-4.082965866403221e-06,19,0.0,26,20.0,v2-numerical
rate_inline_cite,0.0,34,0.0,18,0.011674956903912515,9,20.333333333333332,v2-numerical
n_numbers,0.011430756573939977,4,-0.0004994828243235494,33,0.0,25,20.666666666666668,baseline
rate_ent_total,0.01118181772622582,8,-4.491262453043543e-05,25,0.0,30,21.0,v2-entity
rate_ent_date,0.010959214155371584,10,-9.390821492723707e-05,26,0.0,29,21.666666666666668,v2-entity
epi_prob_Claim,0.009697553850188946,29,0.0005593663236976113,4,0.0,32,21.666666666666668,epistemic
rate_year,0.008430947662538322,32,7.401486830834377e-17,17,0.0,22,23.666666666666668,v2-numerical
n_modals,0.010325754516838218,21,-0.00031711034895742785,30,0.0,21,24.0,baseline
epi_prob_Evidence,0.010329488947968778,20,-0.00042871141597248624,32,0.0,33,28.333333333333332,epistemic
rate_superlative,0.009649676411726274,30,-0.0002694757471826866,29,0.0,31,30.0,v2-quantifier
